****** Levels
 7.15460162E+15      9.    2  'N II 3Pe 1'  0   0.  0
 6.69812068E+15      5.    2  'N II 1De 1'  0   0.  0
 6.17732637E+15      1.    2  'N II 1Se 1'  0   0.  -102
 5.76627653E+15      5.    3  'N II 5So 1'  0   0.  -102
 4.39196591E+15     15.    3  'N II 3Do 1'  0   0.  -102
 3.88314570E+15      9.    3  'N II 3Po 1'  0   0.  -102
 2.83480243E+15      5.    3  'N II 1Do 1'  0   0.  -102
 2.69017693E+15      9.    3  'N II 3Po 2'  0   0.  -102
 2.68491640E+15      3.    3  'N II 1Po 1'  0   0.  -102
 2.50688087E+15      3.    3  'N II 3So 1'  0   0.  -102
 2.22256706E+15      3.    3  'N II 1Pe 1'  0   0.  -102
 2.16247738E+15     15.    3  'N II 3De 1'  0   0.  -102
 2.15796686E+15      3.    3  'N II 1Po 2'  0   0.  -102
 2.09421881E+15      3.    4  'N II 3Se 1'  0   0.  -102
 2.04192892E+15      9.    4  'N II 3Pe 2'  0   0.  -102
 1.93473996E+15      5.    4  'N II 1De 2'  0   0.  -102
 1.81298770E+15      1.    4  'N II 1Se 2'  0   0.  -102
 -0.0197 -0.0003  0.0061  0.0126  0.0190  0.0255  0.0320  0.0449  0.0514  0.0578
  0.0643  0.0708  0.0772  0.0837  0.0902  0.1096  0.1160  0.1225  0.1290  0.1354
  0.1548  0.1613  0.1678  0.1742  0.1807  0.1872  0.1936  0.2001  0.2066  0.2130
  0.2195  0.2260  0.2324  0.2389  0.2454  0.2518  0.2583  0.2648  0.2712  0.2777
  0.2842  0.3100  0.3488  0.3941  0.4070  0.4135  0.4264  0.4393  0.4652  0.4911
  0.6527  0.6915  0.7174  1.3358
  0.2074  0.2458  0.2771  0.3181  0.3775  0.4651  0.6010  0.9490  1.0769  1.1311
  1.1009  0.9838  0.7843  0.5172  0.3656  0.1019  0.0932  0.1141  0.1515  0.2422
  0.6496  0.7750  0.8708  0.9122  0.8865  0.8172  0.8072  0.9709  1.2163  1.4139
  1.5178  1.5199  1.4214  1.2259  0.9416  0.5938  0.2326 -0.0575 -0.2114 -0.2597
 -0.2886 -0.2990 -0.3459 -0.3633 -0.3532 -0.3548 -0.3850 -0.4170 -0.4298 -0.4895
 -0.6805 -0.7295 -0.7937 -2.6509
   9  27   1    156      0      0      0   1.770E-19   0.000E+00
 -0.0198  0.0513  0.0577  0.0642  0.0707  0.0771  0.0836  0.0901  0.0965  0.1095
  0.1159  0.1224  0.1353  0.1418  0.1547  0.1612  0.1677  0.1741  0.1806  0.1871
  0.1935  0.2000  0.2065  0.2129  0.2194  0.2259  0.2323  0.2388  0.2453  0.2517
  0.2582  0.2647  0.2711  0.2776  0.2841  0.2970  0.3035  0.3164  0.3229  0.3293
  0.3358  0.3487  0.3552  0.3616  0.3746  0.3875  0.4134  0.4263  0.4586  0.4651
  0.4845  0.4910  0.5168  0.6849  0.7108  1.3202
 -0.0402  0.0176  0.1270  0.2826  0.4583  0.5916  0.6581  0.6543  0.5904  0.3830
  0.2911  0.2280  0.1633  0.1607  0.1975  0.3261  0.4685  0.6658  0.8412  0.9647
  1.0384  1.0893  1.1626  1.2833  1.4175  1.5134  1.5373  1.4766  1.3302  1.1037
  0.8127  0.4944  0.2279  0.1037  0.1010  0.1608  0.2035  0.3314  0.3685  0.3683
  0.3335  0.2100  0.1692  0.1668  0.2025  0.1999  0.1744  0.1564  0.1577  0.1475
  0.0751  0.0589  0.0491 -0.2244 -0.2855 -2.1147
  10  27   1    175      0      0      0   8.160E-22   0.000E+00
 -0.0217 -0.0153 -0.0088 -0.0023  0.0041  0.0106  0.0170  0.0235  0.0300  0.0364
  0.0429  0.0494  0.0558  0.0623  0.0688  0.0752  0.0817  0.0882  0.0946  0.1011
  0.1076  0.1140  0.1205  0.1270  0.1334  0.1399  0.1464  0.1528  0.1593  0.1658
  0.1787  0.1852  0.1916  0.1981  0.2046  0.2110  0.2240  0.2304  0.2369  0.2434
  0.2498  0.2563  0.2628  0.2757  0.2822  0.2886  0.3016  0.3080  0.3145  0.3210
  0.3274  0.3339  0.3404  0.3468  0.3533  0.3597  0.3662  0.3727  0.3791  0.3856
  0.3921  0.3985  0.4050  0.4179  0.4244  0.4309  0.4438  0.4567  0.4697  0.4891
  0.5085  0.5408  0.6895  0.7348  1.3253
 -2.1286 -1.6943 -1.1217 -0.4544  0.1769  0.6522  1.0096  1.2490  1.3747  1.3905
  1.3014  1.1135  0.8312  0.4662  0.0385 -0.3994 -0.6730 -0.3954  0.1682  0.6664
  1.0493  1.3124  1.4592  1.4940  1.4234  1.2551  1.0055  0.7166  0.4677  0.3035
  0.0496 -0.0302 -0.0089  0.0853  0.2187  0.4102  0.8955  1.0731  1.1634  1.1573
  1.0567  0.8657  0.6179  0.0811 -0.1199 -0.2074 -0.2476  0.0334  0.4839  0.9072
  1.2241  1.4300  1.5271  1.5213  1.4217  1.2463  1.0497  0.9690  1.0664  1.2090
  1.2977  1.3108  1.2635  1.1208  1.0814  1.0674  1.0748  1.0869  1.0695  1.0384
  1.0140  0.9462  0.6618  0.5627 -1.2097
  11  27   1    147      0      0      0   5.162E-19   0.000E+00
 -0.0240  0.0795  0.1053  0.1118  0.1247  0.1312  0.1377  0.1506  0.1571  0.1635
  0.1700  0.1765  0.1829  0.1959  0.2023  0.2088  0.2152  0.2411  0.2476  0.2605
  0.2670  0.2734  0.2799  0.2864  0.2928  0.2993  0.3058  0.3122  0.3187  0.3252
  0.3316  0.3381  0.3446  0.3575  0.3640  0.3704  0.3898  0.4028  0.4222  0.4545
  0.4674  0.4998  0.5321  0.7002  0.7584  0.7907  1.3767
  0.4119  0.4115  0.4349  0.4528  0.5076  0.6056  0.7364  1.0809  1.2005  1.2492
  1.2224  1.1215  0.9516  0.4753  0.2812  0.1552  0.0857  0.2427  0.2956  0.7086
  0.8678  0.9465  0.9342  0.8420  0.7354  0.6726  0.7362  0.8574  0.9496  0.9839
  0.9575  0.8739  0.7424  0.4084  0.2618  0.1561  0.0130 -0.0243 -0.0526 -0.1542
 -0.1781 -0.2053 -0.2836 -0.5795 -0.6738 -0.7597 -2.5201
  12  27   1    149      0      0      0   5.678E-19   0.000E+00
 -0.0247  0.0982  0.1176  0.1369  0.1434  0.1499  0.1563  0.1628  0.1693  0.1757
  0.1951  0.2016  0.2081  0.2210  0.2275  0.2339  0.2469  0.2533  0.2598  0.2663
  0.2727  0.2792  0.2857  0.2921  0.2986  0.3051  0.3115  0.3180  0.3245  0.3309
  0.3374  0.3439  0.3503  0.3568  0.3633  0.3697  0.3762  0.3956  0.4150  0.4279
  0.4409  0.4603  0.4796  0.5055  0.5443  0.5702  0.6930  0.7771  1.3695
  0.4794  0.4001  0.3947  0.4780  0.5320  0.6138  0.6765  0.6967  0.6756  0.6191
  0.3831  0.3342  0.3044  0.2719  0.2629  0.2698  0.3419  0.4305  0.5866  0.7587
  0.8886  0.9556  0.9861  1.0504  1.1904  1.3487  1.4545  1.4748  1.4031  1.2428
  1.0040  0.7081  0.4032  0.1619  0.0306 -0.0246 -0.0477 -0.0804 -0.0848 -0.0875
 -0.1263 -0.1961 -0.2321 -0.2617 -0.3426 -0.3899 -0.6463 -0.8133 -2.5897
  13  27   1    170      0      0      0   1.161E-19   0.000E+00
 -0.0258  0.0453  0.0518  0.0583  0.0647  0.0712  0.0777  0.0841  0.0906  0.0971
  0.1035  0.1100  0.1165  0.1229  0.1359  0.1423  0.1617  0.1747  0.1811  0.1876
  0.1941  0.2005  0.2070  0.2135  0.2199  0.2264  0.2329  0.2393  0.2458  0.2522
  0.2587  0.2652  0.2716  0.2781  0.2846  0.2910  0.2975  0.3040  0.3104  0.3169
  0.3298  0.3363  0.3428  0.3492  0.3622  0.3686  0.3751  0.3816  0.3880  0.3945
  0.4010  0.4139  0.4204  0.4268  0.4398  0.4462  0.4656  0.4980  0.5174  0.5303
  0.5368  0.5432  0.5626  0.5691  0.5820  0.5949  0.6661  0.7825  0.8213  1.3934
 -0.1340 -0.2772 -0.2744 -0.2629 -0.1938 -0.0366  0.2211  0.5152  0.7695  0.9484
  1.0418  1.0513  0.9829  0.8519  0.5250  0.3896  0.0679 -0.0866 -0.1296 -0.1556
 -0.1653 -0.1053 -0.0218  0.2584  0.6398  1.0430  1.3780  1.6153  1.7474  1.7746
  1.7007  1.5340  1.2873  0.9822  0.6569  0.3913  0.3156  0.4317  0.5820  0.6880
  0.8310  0.9317  1.0236  1.0731  1.0937  1.1373  1.2007  1.2459  1.2538  1.2271
  1.1764  1.0423  1.0017  1.0016  1.0576  1.0598  1.0228  1.0023  1.0018  1.0190
  1.0177  0.9984  0.8869  0.8668  0.8642  0.8675  0.7333  0.5229  0.4154 -1.3034
  14  27   1    150      0      0      0   4.246E-19   0.000E+00
 -0.0256  0.0326  0.0973  0.1102  0.1296  0.1361  0.1425  0.1490  0.1555  0.1684
  0.1749  0.1813  0.1878  0.1943  0.2007  0.2137  0.2201  0.2266  0.2331  0.2395
  0.2525  0.2589  0.2654  0.2719  0.2783  0.2848  0.2913  0.2977  0.3042  0.3107
  0.3171  0.3236  0.3301  0.3365  0.3430  0.3495  0.3624  0.3689  0.3753  0.3818
  0.3883  0.4141  0.4594  0.4917  0.5176  0.5564  0.7310  0.7827  0.8279  1.3903
  0.3142  0.3322  0.3135  0.3248  0.3714  0.3945  0.4431  0.5023  0.6277  0.9091
  1.0099  1.0542  1.0329  0.9474  0.8117  0.4955  0.3737  0.2925  0.2426  0.2169
  0.2083  0.2667  0.3403  0.4636  0.5769  0.6496  0.6854  0.7429  0.9037  1.1344
