****** Levels
 8.42117137E+15      9.    3  'S+2  3Pe 1'  0   0.  0
 8.10741434E+15      5.    3  'S+2  1De 1'  0   0.  0
 7.55019012E+15      1.    3  'S+2  1Se 1'  0   0.  0
 6.78636777E+15      5.    3  'S+2  5So 1'  0   0.  -102
 5.96293449E+15     15.    3  'S+2  3Do 1'  0   0.  -102
 5.46630849E+15      9.    3  'S+2  3Po 1'  0   0.  -102
 5.31586653E+15      5.    3  'S+2  1Do 1'  0   0.  -102
 4.73890424E+15     21.    3  'S+2  3Fo 1'  0   0.  -102
 4.21543309E+15      3.    4  'S+2  1Po 1'  0   0.  -102
 4.18464059E+15      3.    4  'S+2  3So 1'  0   0.  -102
 4.10450133E+15      9.    4  'S+2  3Po 2'  0   0.  -102
 3.97712093E+15      9.    4  'S+2  3Po 3'  0   0.  -102
 3.95234916E+15      3.    4  'S+2  1Po 2'  0   0.  -102
 3.94731546E+15     15.    4  'S+2  3Do 2'  0   0.  -102
 3.77535813E+15      5.    4  'S+2  1Do 2'  0   0.  -102
 3.63804292E+15      7.    4  'S+2  1Fo 1'  0   0.  -102
 3.28456416E+15     11.    4  'S+2 +1__ 1'  0   0.  -102
 3.23019873E+15     36.    4  'S+2 +3_e 2'  0   0.  -102
 2.84480192E+15     60.    4  'S+2 +5_e 3'  0   0.  -102
 2.74205932E+15      6.    4  'S+2 +1_e 4'  0   0.  -102
****** Continuum transitions
  0.0702  0.0767  0.0896  0.0961  0.1090  0.1413  0.1478  0.1607  0.1672  0.1737
  0.1801  0.1866  0.1995  0.2060  0.2125  0.2189  0.2318  0.2448  0.2642  0.3288
  0.9679
  1.4052  1.3154  1.2955  1.2900  1.3130  1.3002  1.2638  1.2101  1.0765  0.9990
  0.9079  0.8071  0.6377  0.5878  0.5370  0.4578  0.4568  0.4987  0.5284  0.5434
  0.5297  0.4863  0.3436  0.2787  0.2498  0.2383  0.2364  0.1926  0.1292 -0.0503
 -1.9698
   9  21   1    140      0      0      0   3.207E-17   0.000E+00
 -0.0302 -0.0238 -0.0173 -0.0108 -0.0044  0.0021  0.0086  0.0280  0.0409  0.0474
  0.0538  0.0603  0.0667  0.0732  0.0797  0.0861  0.0926  0.0991  0.1055  0.1120
  0.1185  0.1314  0.1443  0.1508  0.1573  0.1637  0.1702  0.1767  0.1896  0.1961
  0.2025  0.2155  0.2219  0.2284  0.2413  0.2995  0.3125  0.3254  0.4159  1.0037
  1.6889  1.8533  1.9833  2.0615  2.0788  2.0344  1.9434  1.6150  1.3770  1.3191
  1.3824  1.5070  1.6008  1.6213  1.5565  1.4064  1.1797  0.9027  0.6522  0.5184
  0.5462  0.7161  0.8506  0.9295  0.9963  1.0201  0.9806  0.8781  0.5741  0.4598
  0.4102  0.4054  0.3866  0.3429  0.2377 -0.1191 -0.1838 -0.2350 -0.4972 -2.2631
  10  21   1    149      0      0      0   3.434E-19   0.000E+00
 -0.0305 -0.0240 -0.0175 -0.0111 -0.0046  0.0019  0.0083  0.0148  0.0213  0.0277
  0.0342  0.0407  0.0471  0.0536  0.0601  0.0665  0.0730  0.0795  0.0859  0.0924
  0.0989  0.1053  0.1118  0.1183  0.1247  0.1312  0.1376  0.1441  0.1506  0.1570
  0.1635  0.1700  0.1764  0.1829  0.1894  0.1958  0.2023  0.2088  0.2152  0.2217
  0.2282  0.2411  0.2476  0.2734  0.2993  0.3122  0.3252  0.3834  1.0055
  1.6685  1.5897  1.4908  1.4401  1.5348  1.7208  1.8904  1.9980  2.0450  2.0409
  1.9884  1.8844  1.7357  1.5730  1.4400  1.3394  1.2259  1.0610  0.8372  0.5837
  0.3615  0.2015  0.0617 -0.1047 -0.2546 -0.1696  0.1913  0.5692  0.8568  1.0373
  1.1114  1.0837  0.9609  0.7498  0.4924  0.2690  0.2341  0.3390  0.4292  0.4484
  0.4004  0.2397  0.1842  0.0035 -0.1869 -0.2665 -0.3206 -0.4778 -2.3466
  11  21   1    146      0      0      0   2.325E-18   0.000E+00
 -0.0311 -0.0182 -0.0117 -0.0052  0.0077  0.0142  0.0206  0.0271  0.0336  0.0400
  0.0465  0.0530  0.0594  0.0659  0.0724  0.0788  0.0853  0.0918  0.0982  0.1047
  0.1112  0.1176  0.1241  0.1306  0.1370  0.1500  0.1564  0.1694  0.1758  0.1823
  0.1888  0.2017  0.2082  0.2146  0.2211  0.2276  0.2340  0.2405  0.2470  0.2599
  0.2663  0.2857  0.3245  0.3698  0.3957  1.0274
  1.5743  1.4569  1.4294  1.4817  1.7143  1.7691  1.7484  1.6567  1.5233  1.4437
  1.4601  1.6213  1.7930  1.9024  1.9244  1.8559  1.6999  1.4664  1.1790  0.8785
  0.6309  0.4821  0.3930  0.3492  0.3326  0.3236  0.3072  0.2445  0.2210  0.2209
  0.2507  0.3379  0.3564  0.3348  0.2697  0.1746  0.0888  0.0268  0.0155  0.0309
  0.0148 -0.0679 -0.1859 -0.2824 -0.3369 -2.2315
  12  21   1    146      0      0      0   6.095E-19   0.000E+00
 -0.0321 -0.0257 -0.0192 -0.0127 -0.0063  0.0002  0.0131  0.0196  0.0261  0.0325
  0.0390  0.0455  0.0519  0.0584  0.0649  0.0713  0.0778  0.0843  0.0907  0.0972
  0.1037  0.1101  0.1166  0.1231  0.1295  0.1360  0.1554  0.1683  0.1748  0.1877
  0.2007  0.2071  0.2136  0.2201  0.2265  0.2330  0.2395  0.2459  0.2524  0.2653
  0.2718  0.2912  0.3300  0.3688  0.4011  1.0268
  1.6529  1.5986  1.5203  1.4301  1.3695  1.3823  1.5115  1.5295  1.5039  1.4489
  1.3802  1.3365  1.3726  1.4879  1.6152  1.6903  1.6883  1.6050  1.4466  1.2327
  1.0055  0.7985  0.6558  0.5611  0.4914  0.4457  0.3675  0.2884  0.2585  0.2734
  0.3445  0.3634  0.3567  0.3201  0.2537  0.1694  0.0961  0.0392  0.0221  0.0223
