****** Levels
 3.29038787E+15      9.    2  'O I  3Pe 1'  0   0.  0
 2.81702852E+15      5.    2  'O I  1De 1'  0   0.  0
 2.27967737E+15      1.    2  'O I  1Se 1'  0   0.  0
 1.08127828E+15      5.    3  'O I  5So 1'  0   0.  -104
 9.90540926E+14      3.    3  'O I  3So 1'  0   0.  -104
 6.95731753E+14     15.    3  'O I  5Pe 1'  0   0.  -104
 6.35720524E+14      9.    3  'O I  3Pe 2'  0   0.  -104
 4.30497356E+14      5.    4  'O I  5So 2'  0   0.  -104
 4.08061387E+14      3.    4  'O I  3So 2'  0   0.  -104
 3.72216529E+14     25.    4  'O I  5Do 1'  0   0.  -104
 3.70186587E+14     15.    4  'O I  3Do 1'  0   0.  -104
 3.22054901E+14     15.    4  'O I  5Pe 2'  0   0.  -104
 3.04457783E+14      9.    4  'O I  3Pe 3'  0   0.  -104
 2.20845893E+14     63.    5  'O I +3__ 1'  0   0.  -104
 2.15093623E+14      5.    5  'O I  1Do 1'  0   0.  -104
 2.05464910E+14     80.    5  'O I +5__ 2'  0   0.  -104
 1.31317786E+14     80.    6  'O I +5__ 3'  0   0.  -104
 1.30170376E+14     48.    6  'O I +3__ 4'  0   0.  -104
 8.14576031E+13    145.    7  'O I +5__ 5'  0   0.  -104
 8.09418715E+13     87.    7  'O I +3__ 6'  0   0.  -104
 4.39505178E+13    240.    9  'O I +5__ 7'  0   0.  -104
 4.36355004E+13    144.    9  'O I +3__ 8'  0   0.  -104
****** Continuum transitions
  0.6474  0.6992  0.7056  0.7186  0.7250  0.7315  0.7380  0.7444  0.7509  0.7574
  0.7638  0.7703  0.7767  0.7832  0.7961  0.8026  0.8091  0.8155  0.8220  0.8802
  0.9125  0.9578  0.9772  1.0031  1.0095  1.0289  1.0483  1.2294  1.3716  1.8939
  0.3654  0.2675  0.1118  0.0205 -0.0725 -0.1580 -0.2189 -0.2123 -0.1890 -0.1876
 -0.1930 -0.1409 -0.1208 -0.1108 -0.1353 -0.1319 -0.0941 -0.0860 -0.1355 -0.1635
 -0.2882 -0.3180 -0.2384 -0.0111  0.1272  0.5117  0.8649  1.1450  1.3133  1.3783
  1.3434  1.2137  0.9939  0.6990 -0.0010 -0.2639 -0.4036 -0.4657 -0.4940 -0.5982
 -0.6542 -0.7315 -0.7529 -0.7246 -0.7338 -0.8100 -0.8609 -1.2024 -1.6237 -3.1931
   8  23   1    149      0      0      0   2.261E-21   0.000E+00
 -0.0276 -0.0211 -0.0146 -0.0082 -0.0017  0.0048  0.0112  0.0177  0.0242  0.0306
  0.0371  0.0436  0.0500  0.0565  0.0630  0.0694  0.0823  0.1082  0.1793  0.2311
  0.2440  0.3087  0.3992  0.5479  0.7354  0.8324  0.8453  0.8518  0.8647  0.8777
  0.8841  0.8906  0.8971  0.9035  0.9100  0.9165  0.9229  0.9294  0.9359  0.9423
  0.9488  0.9553  0.9617  0.9682  0.9747  0.9941  1.0135  1.1104  1.6631
 -1.3131 -1.3593 -1.4218 -1.5046 -1.6107 -1.7443 -1.9018 -2.0854 -2.2936 -2.5142
 -2.6807 -2.6810 -2.5385 -2.3504 -2.1712 -2.0152 -1.7732 -1.4490 -1.0184 -0.8729
 -0.8427 -0.7554 -0.7155 -0.7514 -0.8557 -0.8690 -0.8813 -0.8758 -0.7782 -0.6726
 -0.5695 -0.2374  0.1492  0.5698  0.9090  1.1415  1.2604  1.2717  1.1790  0.9866
  0.6996  0.3220 -0.1392 -0.6684 -1.0804 -1.7374 -1.7595 -2.0449 -3.7053
   9  23   1    203      0      0      0   2.245E-21   0.000E+00
 -0.0292 -0.0227 -0.0163 -0.0098 -0.0033  0.0031  0.0096  0.0161  0.0225  0.0290
  0.0419  0.0484  0.0549  0.0613  0.0743  0.0937  0.1001  0.1066  0.1131  0.1260
  0.1325  0.1389  0.1454  0.1519  0.1583  0.1648  0.1713  0.1777  0.1842  0.1971
  0.2165  0.2230  0.2294  0.2359  0.2424  0.2488  0.2553  0.2618  0.2682  0.2812
  0.3070  0.3135  0.3200  0.3329  0.3394  0.3458  0.3523  0.3652  0.3782  0.3846
  0.3911  0.3976  0.4040  0.4105  0.4170  0.4234  0.4299  0.4493  0.4622  0.4881
  0.5010  0.5075  0.5140  0.5269  0.5463  0.5592  0.6950  0.8437  0.8567  0.8631
  0.8696  0.8825  0.8890  0.8955  0.9019  0.9084  0.9148  0.9213  0.9278  0.9342
  0.9407  0.9472  0.9536  0.9601  0.9666  0.9730  0.9795  0.9860  0.9924  0.9989
  1.0054  1.0118  1.0248  1.0442  1.0571  1.0959  1.1476  1.1606  1.2123  1.3610
  1.3998  1.4386  2.0757
 -1.1758 -1.2338 -1.3134 -1.4204 -1.5598 -1.7324 -1.9178 -2.0797 -2.0716 -1.9323
 -1.5238 -1.3369 -1.1708 -1.0212 -0.7541 -0.3787 -0.2454 -0.1007  0.0586  0.4095
  0.5729  0.7006  0.7724  0.8073  0.7634  0.6785  0.5331  0.3404  0.1155 -0.3795
 -1.1345 -1.3995 -1.6773 -1.9410 -2.0917 -2.0457 -1.8798 -1.6997 -1.5414 -1.2754
 -0.8459 -0.7100 -0.5535 -0.2035 -0.0717 -0.0027 -0.0018 -0.0929 -0.1295 -0.1732
 -0.2520 -0.3431 -0.4239 -0.4931 -0.5534 -0.5923 -0.6037 -0.5972 -0.6019 -0.5511
 -0.5167 -0.5064 -0.5249 -0.6031 -0.6344 -0.6408 -0.8200 -0.9868 -0.9991 -0.9685
 -0.9236 -0.7684 -0.7058 -0.6560 -0.5894 -0.4455 -0.2142  0.1656  0.5555  0.8801
  1.1024  1.2215  1.2363  1.1501  0.9678  0.6976  0.3443 -0.0670 -0.5012 -0.8601
 -1.0824 -1.2413 -1.3599 -1.4472 -1.4841 -1.5651 -1.6315 -1.6670 -1.7115 -1.8770
 -1.9522 -2.0570 -3.9706
  10  23   1    143      0      0      0   1.911E-18   0.000E+00
 -0.0319  0.0133  0.2267  0.4789  0.6858  0.7763  0.8281  0.8669  0.8992  0.9057
  0.9121  0.9186  0.9251  0.9315  0.9445  0.9509  0.9574  0.9638  0.9703  0.9768
  0.9832  0.9897  0.9962  1.0026  1.0091  1.0156  1.0220  1.0285  1.0350  1.0414
  1.0479  1.0544  1.0608  1.0673  1.0867  1.1190  1.1643  1.2742  1.3259  1.3777
  1.4423  1.4747  1.7035
  1.3622  1.2476  0.5177 -0.3819 -1.1482 -1.5058 -1.7318 -1.9330 -1.8957 -1.9276
 -2.0026 -2.1034 -2.2144 -2.1685 -1.7943 -1.1041 -0.4746  0.0272  0.4044  0.6617
  0.8038  0.8351  0.7608  0.5848  0.3163 -0.0411 -0.4750 -0.9477 -1.3952 -1.6636
 -1.8763 -1.9468 -2.0072 -2.0589 -2.1703 -2.3083 -2.4610 -2.7800 -2.9055 -2.9983
 -3.0811 -3.1669 -3.8557
  11  23   1    166      0      0      0   1.825E-18   0.000E+00
 -0.0321  0.0131  0.1424  0.1683  0.2071  0.2653  0.3558  0.3881  0.4593  0.6662
  0.7696  0.8537  0.8666  0.8860  0.8925  0.9054  0.9119  0.9184  0.9248  0.9313
  0.9378  0.9442  0.9507  0.9572  0.9636  0.9701  0.9766  0.9830  0.9895  0.9960
  1.0024  1.0089  1.0154  1.0218  1.0283  1.0348  1.0412  1.0477  1.0541  1.0606
  1.0671  1.0735  1.0800  1.0994  1.1253  1.1447  1.1511  1.1576  1.1641  1.1705
  1.1770  1.1835  1.1899  1.1964  1.2029  1.2093  1.2158  1.2223  1.2287  1.2352
  1.2611  1.3581  1.4227  1.4486  1.4874  2.1146
  1.3445  1.2272  0.7780  0.7214  0.5761  0.3500  0.0072 -0.0990 -0.3679 -1.1683
 -1.5930 -1.9680 -2.0279 -2.0839 -2.0863 -2.0542 -2.0575 -2.1006 -2.1856 -2.3020
 -2.2729 -2.0626 -1.4200 -0.7655 -0.1977  0.2429  0.5600  0.7585  0.8439  0.8207
  0.6941  0.4698  0.1496 -0.2542 -0.7323 -1.2478 -1.6877 -1.9592 -2.1077 -2.1197
 -2.1092 -2.1303 -2.1955 -2.5004 -2.6773 -2.7407 -2.7485 -2.7244 -2.5982 -2.4238
 -2.2318 -2.0611 -1.9750 -1.9822 -2.0827 -2.2757 -2.5128 -2.7625 -2.9292 -2.9876
 -2.9758 -3.0632 -3.1041 -3.1410 -3.2475 -5.1316
  12  23   1    130      0      0      0   1.264E-18   0.000E+00
 -0.0371  0.0017  0.1245  0.3573  0.4090  0.4478  0.4931  0.5448  0.6159  0.7905
  0.9974  1.0039  1.0104  1.0168  1.0233  1.0298  1.0362  1.0427  1.0491  1.0556
  1.0621  1.0685  1.0750  1.0815  1.0879  1.2949  1.3531  1.4565  1.5082  2.0600
  1.1928  1.0977  0.6644 -0.2114 -0.3842 -0.4965 -0.6011 -0.6849 -0.7489 -0.8136
 -0.8662 -0.8448 -0.7983 -0.6956 -0.4744 -0.1725  0.1046  0.3131  0.4182  0.4164
  0.3129  0.1205 -0.1537 -0.4783 -0.6615 -1.3081 -1.3901 -1.5625 -1.6770 -3.3320
