****** Levels
 8.49102203E+15      4.    2  'O II 4So 1'  0   0.  0
 -0.0166 -0.0101 -0.0037  0.0028  0.0093  0.0157  0.0222  0.0287  0.0351  0.0481
  0.0545  0.0610  0.0675  0.0804  0.0869  0.0933  0.0998  0.1127  0.1192  0.1256
  0.1321  0.1386  0.1450  0.1515  0.1580  0.1644  0.1709  0.1774  0.1838  0.1903
  0.1968  0.2032  0.2097  0.2162  0.2226  0.2291  0.2356  0.2420  0.2485  0.2550
  0.2614  0.2679  0.2808  0.2873  0.2938  0.3002  0.3067  0.3132  0.3196  0.3261
  0.3326  0.3390  0.3455  0.3520  0.3649  0.3714  0.3778  0.3843  0.3972  0.4102
  0.4231  0.4296  0.4360  0.4490  0.4554  0.4683  0.4942  0.5071  0.5136  0.5395
  0.5653  0.5783  0.5847  0.5912  0.5977  0.6041  0.6106  0.6171  0.6235  0.6300
  0.6429  0.6494  0.6559  0.6623  0.6947  1.3454
  0.1244  0.0765  0.0146 -0.0268 -0.0579 -0.0501 -0.0243 -0.0125 -0.0215 -0.0610
 -0.0704 -0.0667 -0.0496  0.0252  0.0806  0.1991  0.3516  0.7343  0.8712  0.9352
  0.9194  0.8261  0.6671  0.4747  0.3013  0.2248  0.2733  0.4198  0.6285  0.8098
  0.9228  0.9512  0.8971  0.7666  0.5756  0.3556  0.1549  0.0073 -0.0651 -0.0921
 -0.1029 -0.0817 -0.0118  0.0471  0.1370  0.2843  0.4950  0.7273  0.9227  1.0429
  1.0752  1.0168  0.8724  0.6540  0.1189 -0.0844 -0.1810 -0.1911 -0.1365 -0.0958
 -0.0299 -0.0073 -0.0110 -0.0704 -0.0884 -0.0787 -0.0597 -0.0421 -0.0446 -0.1080
 -0.1072 -0.0935 -0.0323  0.1081  0.3001  0.4760  0.5909  0.6191  0.5606  0.4243
  0.0692 -0.0795 -0.1612 -0.1948 -0.2697 -2.2232
   8  30   1    175      0      0      0   4.733E-21   0.000E+00
 -0.0181 -0.0116 -0.0052  0.0013  0.0078  0.0142  0.0207  0.0272  0.0336  0.0401
  0.0466  0.0530  0.0595  0.0660  0.0724  0.0854  0.0918  0.0983  0.1048  0.1177
  0.1242  0.1306  0.1371  0.1436  0.1500  0.1565  0.1630  0.1694  0.1759  0.1824
  0.1888  0.1953  0.2018  0.2082  0.2147  0.2212  0.2276  0.2341  0.2406  0.2470
  0.2535  0.2599  0.2664  0.2729  0.2793  0.2858  0.2923  0.3052  0.3117  0.3181
  0.3246  0.3311  0.3375  0.3440  0.3505  0.3634  0.3699  0.3763  0.3828  0.3957
  0.4022  0.4151  0.4281  0.4539  0.4604  0.4669  0.4798  0.4863  0.5121  0.5445
  0.5703  0.6156  0.6996  0.7255  1.3747
 -0.8605 -0.8816 -0.9415 -1.0102 -0.9851 -0.8089 -0.5897 -0.4299 -0.3587 -0.3761
 -0.4694 -0.6089 -0.7353 -0.7779 -0.7305 -0.5830 -0.5191 -0.4912 -0.4761 -0.3937
 -0.3279 -0.2457 -0.1774 -0.1651 -0.1963 -0.2450 -0.2659 -0.2306 -0.1658  0.0070
  0.2494  0.5127  0.7369  0.8888  0.9542  0.9301  0.8239  0.6376  0.3913  0.1177
 -0.1221 -0.2827 -0.3642 -0.4095 -0.3820 -0.2747 -0.0805  0.4305  0.6775  0.7652
  0.7750  0.7246  0.6425  0.5898  0.6433  0.9239  1.0133  1.0428  1.0211  0.9215
  0.9059  0.9412  0.9710  1.0630  1.0661  1.0473  0.9978  0.9887  0.9847  0.9535
  0.9235  0.8902  0.7656  0.7038 -1.2453
   9  30   1    152      0      0      0   2.619E-19   0.000E+00
 -0.0198  0.0125  0.0772  0.1419  0.1483  0.1677  0.1742  0.1807  0.1871  0.1936
  0.2001  0.2065  0.2130  0.2194  0.2259  0.2324  0.2388  0.2518  0.2582  0.2647
  0.2712  0.2776  0.2841  0.2906  0.3100  0.3164  0.3358  0.3488  0.3552  0.3617
  0.3682  0.3811  0.3876  0.4070  0.4134  0.4199  0.4264  0.4328  0.4393  0.4458
  0.4522  0.4587  0.4652  0.4716  0.4846  0.5169  0.5492  0.6074  0.6979  0.7367
  0.7755  1.4042
