****** Levels
 1.87322894E+16      1.    2  'N IV 1Se 1'  0   0.   0  
 1.67133928E+16      9.    2  'N IV 3Po 1'  0   0.   0  
 1.48143397E+16      3.    2  'N IV 1Po 1'  0   0.   0  
 1.34660496E+16      9.    2  'N IV 3Pe 1'  0   0.   0
 1.30699344E+16      5.    2  'N IV 1De 1'  0   0.   0
 1.16763464E+16      1.    2  'N IV 1Se 2'  0   0.   0
 7.42202293E+15      3.    3  'N IV 3Se 1'  0   0.   -102  
 7.07515546E+15      1.    3  'N IV 1Se 3'  0   0.   -102  
 6.60548307E+15      3.    3  'N IV 1Po 2'  0   0.   -102  
 6.56103875E+15      9.    3  'N IV 3Po 2'  0   0.   -102  
 6.13992311E+15     15.    3  'N IV 3De 1'  0   0.   -102  
 5.86690922E+15      5.    3  'N IV 1De 2'  0   0.   -102  
 4.77886891E+15      9.    3  'N IV 3Po 3'  0   0.   -102  
 4.55177950E+15      3.    3  'N IV 1Po 3'  0   0.   -102  
 4.31630201E+15      3.    3  'N IV 1Pe 1'  0   0.   -102  
 -0.0537 -0.0279 -0.0214 -0.0085 -0.0020  0.0045  0.0109  0.0174  0.0239  0.0303
  0.0368  0.0433  0.0497  0.0562  0.0627  0.0691  0.0756  0.0821  0.0885  0.0950
  0.1015  0.1079  0.1144  0.1209  0.1273  0.1338  0.1402  0.1467  0.1532  0.2308
  0.2372  0.2954  0.3019  0.3278  0.3342  0.3407  0.3472  0.3536  0.3601  0.3666
  0.3730  0.3795  0.3860  0.3924  0.3989  0.4054  0.4183  0.4248  0.4377  0.4442
  0.4506  0.4571  0.4636  0.4700  0.4765  0.4829  0.4894  0.4959  0.5023  0.5088
  0.5153  0.5282  0.5347  0.5411  0.5541  0.5605  0.5670  0.5735  0.5864  0.5993
  0.7351  0.9808  1.0584  1.3846
 -1.9991 -1.7517 -1.6752 -1.5031 -1.3623 -1.2010 -1.0209 -0.8709 -0.7864 -0.7815
 -0.8612 -1.0201 -1.2254 -1.3237 -1.3333 -1.1885 -1.0591 -1.0015 -1.0116 -1.0468
 -1.0237 -0.8526 -0.5261 -0.1665  0.1340  0.3400  0.4452  0.4575  0.3962 -0.0967
 -0.1162 -0.1810 -0.1752 -0.0936 -0.0199  0.0676  0.1364  0.1866  0.2619  0.4100
  0.5935  0.7503  0.8368  0.8512  0.8228  0.8043  0.8350  0.8091  0.6652  0.6135
  0.5727  0.4992  0.3690  0.2074  0.1348  0.1548  0.3264  0.4788  0.5521  0.5346
  0.4312  0.0975  0.0101  0.0166  0.0876  0.1018  0.0939  0.0667 -0.0076 -0.0569
 -0.3850 -1.0336 -1.2546 -2.2350
  15  24   1    176      0      0      0   1.938E-19   0.000E+00
 -0.0568 -0.0503 -0.0439 -0.0374 -0.0309 -0.0245 -0.0180 -0.0115 -0.0051  0.0014
  0.0079  0.0143  0.0208  0.0273  0.0337  0.0402  0.0467  0.0531  0.0596  0.0661
  0.0725  0.0790  0.0855  0.0919  0.1049  0.1113  0.1307  0.1372  0.1436  0.1501
  0.1566  0.1630  0.2277  0.2342  0.3053  0.3441  0.3506  0.3700  0.3829  0.3894
  0.3958  0.4023  0.4088  0.4152  0.4217  0.4282  0.4346  0.4411  0.4476  0.4540
  0.4605  0.4669  0.4734  0.4799  0.4993  0.5057  0.5122  0.5251  0.5316  0.5381
  0.5445  0.5575  0.5639  0.5704  0.5769  0.5833  0.5898  0.6027  0.6092  0.6157
  0.6286  0.6351  0.6933  0.9325  1.1200  1.3530
 -1.9364 -1.9404 -1.9221 -1.8502 -1.6552 -1.3252 -0.9375 -0.5813 -0.2971 -0.0998
  0.0228  0.0960  0.1470  0.1808  0.1762  0.1072 -0.0363 -0.2318 -0.3790 -0.3580
 -0.2264 -0.1129 -0.0632 -0.0774 -0.1784 -0.1918 -0.1798 -0.1657 -0.1197 -0.0396
  0.0559  0.0992  0.1736  0.1741  0.0655  0.0286  0.0336  0.0861  0.3089  0.4599
  0.5823  0.6550  0.6828  0.6842  0.6700  0.6282  0.5424  0.4258  0.3434  0.3158
  0.3578  0.3736  0.3189  0.1788 -0.3397 -0.3687 -0.3467 -0.0930  0.0068  0.0436
  0.0131 -0.1533 -0.1871 -0.1567 -0.1117 -0.0846 -0.0806 -0.0983 -0.0989 -0.0851
 -0.0390 -0.0265 -0.1616 -0.8774 -1.4554 -2.1569
  16  24   1    107      0      0      0   1.614E-20   0.000E+00
  -0.005   0.158   0.173   0.368   0.632   0.660   1.386
  -1.276  -1.055  -0.845  -1.252  -1.843  -1.129  -3.273
  17  24   1    110      0      0      0   7.814E-20   0.000E+00
   0.002   0.173   0.194   0.429   0.479   0.496   0.528   0.671   0.689   1.457
  -0.588  -0.958  -0.588  -1.180  -0.493   0.077  -1.264  -1.581  -0.905  -3.144
  18  24   1    111      0      0      0   2.432E-20   0.000E+00
   0.002   0.180   0.208   0.457   0.482   0.514   0.536   0.575   0.699   0.717
   1.482
  -1.095  -1.486  -1.137  -1.898  -1.687  -1.021  -1.993  -2.173  -2.426  -1.549
  -3.810
  19  24   1    114      0      0      0   6.198E-20   0.000E+00
   0.003   0.020   0.052   0.096   0.185   0.216   0.474   0.528   0.550   0.590
   0.732   0.741   1.061   1.511
  -0.609  -0.102  -0.683  -0.937  -1.074  -0.577  -1.327  -0.810   0.120  -1.349
  -1.391  -0.905  -1.729  -3.113
  20  24   1    109      0      0      0   5.172E-20   0.000E+00
  -0.002   0.087   0.301   0.732   0.901   1.070   1.195   1.284   1.720
  -0.761  -0.901  -1.479  -2.507  -2.761  -3.338  -3.521  -3.944  -5.254
  21  24   1    110      0      0      0   1.622E-19   0.000E+00
   0.007   0.047   0.056   0.078   0.149   0.625   0.750   0.897   1.079   1.657
  -0.243  -0.107   0.731  -0.329  -0.650  -1.796  -1.993  -2.116  -2.745  -4.384
  22  24   1    107      0      0      0   5.322E-20   0.000E+00
  -0.002   0.172   0.381   0.848   1.048   1.475   1.822
  -0.747  -1.183  -1.507  -2.437  -2.845  -3.916  -4.944
  23  24   1    111      0      0      0   1.457E-19   0.000E+00
  -0.002   0.181   0.216   0.238   0.363   0.706   0.866   0.901   0.950   1.052
   1.795
  -0.310  -0.690   0.155  -0.789  -1.085  -1.690  -1.986  -1.113  -2.056  -2.352
  -4.352
*** Line transitions
   1   2   0   0   4      0      0   0.000E+00   5.000E-02
   1   3  -1   1   1      0      0   6.260E-01   7.000E-01
  T  3   17 250.  0.
  2.2E+9  0.  0.  0.       0.
   1   4   0   0   4      0      0   0.000E+00   5.000E-02
   1   5   0   0   4      0      0   0.000E+00   5.000E-02
   1   6   0   0   4      0      0   0.000E+00   5.000E-02
   1   7   0   0   4      0      0   0.000E+00   5.000E-02
   1   8   0   0   4      0      0   0.000E+00   5.000E-02
   1   9  -1   1   1      0      0   3.260E-01   2.000E-01
  T  3   11  40.  0.
  1.4E+10 0.  0.  0.       0.
   1  10   0   0   4      0      0   0.000E+00   5.000E-02
   1  11   0   0   4      0      0   0.000E+00   5.000E-02
   1  12   0   0   4      0      0   0.000E+00   5.000E-02
   1  13   0   0   4      0      0   0.000E+00   5.000E-02
   1  14  -1   0   1      0      0   4.520E-03   2.000E-01
  F  1  7  0.  0.
   1  15   0   0   4      0      0   0.000E+00   5.000E-02
   1  16   0   0   4      0      0   0.000E+00   5.000E-02
   1  17  -1   0   1      0      0   1.050E-01   2.000E-01
  F  1  7  0.  0.
   1  18   0   0   4      0      0   0.000E+00   5.000E-02
   1  19  -1   0   1      0      0   5.980E-03   2.000E-01
  F  1  7  0.  0.
   1  20   0   0   4      0      0   0.000E+00   5.000E-02
   1  21  -1   0   1      0      0   4.160E-02   2.000E-01
  F  1  7  0.  0.
   1  22   0   0   4      0      0   0.000E+00   5.000E-02
   1  23  -1   0   1      0      0   2.328E-02   2.000E-01
  F  1  7  0.  0.
   2   3   0   0   4      0      0   0.000E+00   5.000E-02
   2   4  -1   0   1      0      0   2.311E-01   7.000E-01
  F  1  7  0.  0.
   2   5   0   0   4      0      0   0.000E+00   5.000E-02
   2   6   0   0   4      0      0   0.000E+00   5.000E-02
   2   7  -1   0   1      0      0   4.689E-02   2.000E-01
  F  1  7  0.  0.
   2   8   0   0   4      0      0   0.000E+00   5.000E-02
   2   9   0   0   4      0      0   0.000E+00   5.000E-02
   2  10   0   0   4      0      0   0.000E+00   5.000E-02
   2  11  -1   0   1      0      0   6.122E-01   2.000E-01
  F  1  7  0.  0.
   2  12   0   0   4      0      0   0.000E+00   5.000E-02
   2  13   0   0   4      0      0   0.000E+00   5.000E-02
   2  14   0   0   4      0      0   0.000E+00   5.000E-02
   2  15   0   0   4      0      0   0.000E+00   5.000E-02
   2  16  -1   0   1      0      0   1.091E-01   2.000E-01
  F  1  7  0.  0.
