****** Levels
 3.51607927E+15      4.    1  'n1   4So 1'  0   0.  0
  -0.528  -0.139  -0.627  -0.300  -0.337  -0.538   0.854   0.122  -0.118   0.705
   0.600  -0.372  -0.346  -0.548   0.072  -0.424  -0.621  -0.155  -0.828  -0.910
  -2.824
   8  22   1    123      0      0      0   3.039E-19   0.000E+00
  -0.000   0.100   0.167   0.601   0.633   0.690   0.733   0.797   0.823   0.836
   0.841   0.843   0.848   0.858   0.985   1.006   1.014   1.017   1.018   1.023
   1.037   1.062   1.730
   0.483   0.083  -0.138  -0.166  -0.303  -0.179  -0.372  -0.386  -0.348  -0.197
   0.350   3.213   0.148  -0.517  -0.736  -0.710  -0.441   0.906  -0.576  -0.761
  -0.870  -0.837  -2.869
   9  22   1    126      0      0      0   2.676E-19   0.000E+00
  -0.000   0.085   0.178   0.491   0.584   0.626   0.637   0.648   0.665   0.691
   0.712   0.717   0.740   0.822   0.839   0.851   0.856   0.859   0.860   0.866
   0.881   1.006   1.042   1.059   1.096   1.740
   0.428   0.028  -0.290  -0.235  -0.248  -0.014   1.145  -0.069  -0.276  -0.246
   0.055  -0.175  -0.400  -0.483  -0.431  -0.179   0.646   3.178   0.601  -0.334
  -0.572  -0.740  -0.678  -0.846  -0.883  -2.869
  10  22   1    153      0      0      0   2.076E-19   0.000E+00
  -0.000   0.068   0.327   0.354   0.364   0.367   0.374   0.398   0.438   0.445
   0.449   0.452   0.460   0.472   0.476   0.478   0.478   0.488   0.514   0.587
   0.622   0.640   0.656   0.664   0.674   0.695   0.708   0.713   0.722   0.725
   0.736   0.750   0.763   0.809   0.855   0.868   0.874   0.876   0.878   0.883
   0.891   0.927   0.931   0.970   0.976   0.980   1.020   1.027   1.029   1.034
   1.058   1.096   1.765
   0.317   0.207   0.207   0.341   0.667   1.507  -0.058   0.061   0.123   0.289
   1.222  -0.152   0.009   0.097   0.377   1.336  -0.157   0.102   0.149   0.092
   0.200   0.498   1.773   0.662   0.091  -0.175  -0.206  -0.097   0.662   2.524
   0.263  -0.042  -0.175  -0.308  -0.277  -0.066   0.396   3.158   0.779  -0.222
  -0.527  -0.621  -0.496  -0.602  -0.230  -0.602  -0.706  -0.642  -0.434  -0.773
  -0.813  -0.841  -2.828
  11  22   1    160      0      0      0   1.728E-19   0.000E+00
   0.001   0.019   0.024   0.026   0.028   0.030   0.032   0.038   0.041   0.043
   0.046   0.048   0.049   0.053   0.056   0.059   0.060   0.063   0.063   0.065
   0.073   0.088   0.137   0.228   0.591   0.630   0.645   0.652   0.656   0.663
   0.670   0.677   0.703   0.722   0.730   0.740   0.750   0.770   0.836   0.846
   0.849   0.860   0.876   0.882   0.909   0.937   1.029   1.051   1.080   1.089
   1.094   1.096   1.107   1.132   1.140   1.143   1.147   1.157   1.251   1.840
   0.236   0.189   0.207   0.346   0.947   0.904   0.299   0.160   0.143   0.441
   0.148   0.156   0.223   1.065   0.274   0.159   0.148   0.773   0.385   0.212
   0.164   0.123   0.062   0.205  -0.069   0.014   0.331   2.547   0.071   1.283
